id,type,from,to,role
26052d3cdabd14c393b2417f1c9fbd78,Legal,02535e67b7cbb0e1236a6b1bb2f81e90,de11f5440252530f9ed11d30190e74ba,法人
17b2c05e2798483e39a6c90d2a7b161b,Legal,02535e67b7cbb0e1236a6b1bb2f81e90,64201c4f699666cc1fbd93bfdc70194d,法人
10bf249f210f8a4cb687bc242eb1cdb7,Legal,02535e67b7cbb0e1236a6b1bb2f81e90,ae7cf2658925c45c37316520b7c84d60,法人
ae7cf2658925c45c37316520b7c84d60,Legal,bffad71f23073e72488aea2478cc91d5,1aa91571b144572e7d13ebf0fea62de0,法人

fd2eefb7d2dc5a26d3b8f8621e34df77,Legal,90006ec571429463f0f1675c3ba01215,9db119ffd1a5825458e7b63ff224e505,法人
82a7a2a41ff5f8167d9892491106dccc,Legal,90006ec571429463f0f1675c3ba01215,dbd89787f9845975bf8d1b07ddb3806c,法人
70494cdd0883a6aaa0b990a76c30bdb2,Legal,90006ec571429463f0f1675c3ba01215,36720daf46b11355c84ea900d4a1a47c,法人
695a4f086bdf7d14a2f5564187024be6,Legal,90006ec571429463f0f1675c3ba01215,90006ec571429463f0f1675c3ba01215,法人
ba0b41484f8c5d1540080c0ff2f0f691,Legal,90006ec571429463f0f1675c3ba01215,845c185c8a3af3f492df44bd0127b1e8,法人
ec6951433edbdfcc74ffe9ecff92ab13,Legal,90006ec571429463f0f1675c3ba01215,7607b026af68c5f8cd02b27b7cf201c2,法人
603cb5273993601214cd77211c73e6a3,Legal,90006ec571429463f0f1675c3ba01215,2f20902e5dd7fb9ac41ab729a819251a,法人
64d1437ad7df57520c98d1ba223d2fe9,Legal,90006ec571429463f0f1675c3ba01215,7f1b439241bc2b10dcf821bf88dbf060,法人
852fd457227d05536458582d4e41b68f,Legal,90006ec571429463f0f1675c3ba01215,d824714009ce0460f85a1b5035eb77ed,法人
47ce22ac2b01142fe6ca88862b5aecc1,Legal,90006ec571429463f0f1675c3ba01215,2190d5059d02b90281401e88db4439f8,法人

673252b72656769d1f26f6c42a04fc0e,Legal,90006ec571429463f0f1675c3ba01215,3e2553929df27dfa0a811b3aa5fccf93,法人
107b443c953ba452d2e4fce4238b480d,Legal,90006ec571429463f0f1675c3ba01215,448fa68a4888c4d171f50672cd10964f,法人
daa7f31e5149a64c6f147812f02bd346,Legal,6f690a287c8a8495fae342ffc048b190,ff68bade098d7f9f37e37429a1feb04b,法人
17bf014d4977ba7946d50255d25424c6,Legal,6f690a287c8a8495fae342ffc048b190,9db5c91ff165714d84a0b54448caade8,法人
795765c73bf42ddb372ff1e277b9b27b,Legal,10e867cc50becead9a6767973b85b75a,d13824c408746db627efbff69914dcaa,法人
bf72199b0eb46598c006b23da56320b6,Legal,46725f29f23419130b84fc44931511a4,22555a64801d8c325dc61e2ccd825530,法人
ceb979dd76a08bd62fd1cec53bdbf8be,Legal,718861ec1fab95275e8ae0d32e33f57d,dcb06c4e924d02478537102e77fbb193,法人
8674e9149de7c06b29d9e8ec2b7ae1aa,Legal,641de6f03b218d648771a35ca4c32f1a,4b73eaccd91776e04fd6cb5fac0411b1,法人
79a0d93cd3dbb819cc3aa25353326813,Legal,c4477864be4a7842537665a905985d47,50066e0b69ec228930bb54ec30bb16db,法人

699dfe3b791bf493cd404260cc79aa42,Legal,6585a335c0508d3ac6cf55e24838a895,fa6bf54f3a8f028c751baa6bdb59ec09,法人
40b3adc5557bf2c48ffe063fa412c165,Legal,6585a335c0508d3ac6cf55e24838a895,0f8e7c7fb8bb64cd00b9b75411f781dd,法人
1db4e3f6e33443d576f53ababd94f9c7,Legal,6585a335c0508d3ac6cf55e24838a895,368fedea60b087a0a775ec8def3523be,法人
949d4d626a16961847f2fc697c23f5a4,Legal,6585a335c0508d3ac6cf55e24838a895,8031ecf1df715e796222d633d4c3cbfc,法人
a14e66128cc6fd8cd3d8652927d35922,Legal,6585a335c0508d3ac6cf55e24838a895,b3cffe0bc65d9d4322e5b45347c51ae3,法人
77e032a8eaac089a5563c9bdda1c79d8,Legal,c0004698f7f269c40da598f90961075d,c1fb152440d5555faa44e83844588dc0,法人
b4c93b3081b4c1d85c32dff178d64f82,Legal,f61a8dfb8713a01af75a9d000439d486,e3a05a73abfda9990eca4b77b61053d9,法人
f330dfa70dc2e43fda9d6dc83110cadf,Legal,f61a8dfb8713a01af75a9d000439d486,d72042c570aa8131532acfba84a0fb44,法人
286f6c6d1d9d6629fad3ae37d325cf07,Legal,f61a8dfb8713a01af75a9d000439d486,fc0230d216153f27773f23a316e900bd,法人
c76dbcffb13b173dafc7c4d3998cc491,Legal,9fbbec4829fcf0b3c5e51ed0a43e3f29,2b17651f11c6ec58d72a6052243e4e6f,法人
